image_dir,image_name,x1,y1,x2,y2,x3,y3,x4,y4
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-0.png,0.3636,0.1856,0.6136,0.1773,0.6527,0.8052,0.3605,0.8251
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-1.png,0.3631,0.1833,0.6144,0.1749,0.6534,0.8071,0.3594,0.8271
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-10.png,0.3588,0.1918,0.6028,0.1805,0.6411,0.7923,0.3570,0.8156
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-100.png,0.4410,0.1586,0.6780,0.1269,0.7673,0.7128,0.4968,0.7779
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-102.png,0.4427,0.1602,0.6788,0.1285,0.7690,0.7107,0.4999,0.7758
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-103.png,0.4445,0.1614,0.6794,0.1292,0.7696,0.7091,0.5013,0.7742
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-104.png,0.4451,0.1623,0.6796,0.1301,0.7706,0.7092,0.5027,0.7749
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-105.png,0.4455,0.1649,0.6797,0.1334,0.7702,0.7112,0.5024,0.7767
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-106.png,0.4455,0.1645,0.6793,0.1332,0.7701,0.7087,0.5027,0.7735
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-107.png,0.4471,0.1612,0.6808,0.1306,0.7717,0.7082,0.5046,0.7719
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-108.png,0.4492,0.1630,0.6826,0.1330,0.7743,0.7093,0.5076,0.7728
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-109.png,0.4527,0.1645,0.6857,0.1340,0.7773,0.7101,0.5107,0.7731
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-11.png,0.3573,0.1935,0.6013,0.1822,0.6404,0.7926,0.3564,0.8158
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-110.png,0.4552,0.1656,0.6882,0.1357,0.7790,0.7119,0.5124,0.7742
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-111.png,0.4566,0.1680,0.6892,0.1383,0.7796,0.7128,0.5129,0.7745
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-112.png,0.4579,0.1707,0.6899,0.1418,0.7797,0.7163,0.5135,0.7773
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-113.png,0.4593,0.1729,0.6909,0.1435,0.7810,0.7162,0.5145,0.7767
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-114.png,0.4598,0.1697,0.6922,0.1408,0.7807,0.7151,0.5138,0.7750
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-115.png,0.4591,0.1708,0.6911,0.1426,0.7789,0.7177,0.5122,0.7769
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-116.png,0.4570,0.1736,0.6890,0.1454,0.7759,0.7198,0.5096,0.7789
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-117.png,0.4549,0.1736,0.6869,0.1461,0.7738,0.7206,0.5072,0.7796
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-118.png,0.4538,0.1744,0.6859,0.1477,0.7732,0.7214,0.5062,0.7797
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-119.png,0.4531,0.1753,0.6857,0.1479,0.7721,0.7229,0.5043,0.7808
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-12.png,0.3567,0.1933,0.6007,0.1807,0.6394,0.7916,0.3553,0.8156
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-120.png,0.4524,0.1771,0.6846,0.1498,0.7705,0.7254,0.5028,0.7827
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-121.png,0.4511,0.1798,0.6834,0.1525,0.7677,0.7281,0.4999,0.7848
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-122.png,0.4480,0.1800,0.6807,0.1541,0.7642,0.7290,0.4960,0.7850
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-123.png,0.4457,0.1791,0.6781,0.1539,0.7610,0.7295,0.4926,0.7848
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-124.png,0.4440,0.1792,0.6768,0.1548,0.7586,0.7311,0.4896,0.7851
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-125.png,0.4427,0.1811,0.6756,0.1567,0.7560,0.7344,0.4870,0.7867
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-126.png,0.4410,0.1819,0.6739,0.1590,0.7531,0.7352,0.4834,0.7867
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-127.png,0.4385,0.1789,0.6721,0.1572,0.7506,0.7358,0.4808,0.7853
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-128.png,0.4363,0.1798,0.6702,0.1604,0.7448,0.7388,0.4738,0.7858
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-129.png,0.4336,0.1782,0.6675,0.1601,0.7413,0.7386,0.4703,0.7842
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-13.png,0.3546,0.1925,0.5983,0.1804,0.6370,0.7909,0.3529,0.8160
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-130.png,0.4323,0.1753,0.6663,0.1580,0.7396,0.7371,0.4676,0.7814
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-131.png,0.4307,0.1729,0.6659,0.1563,0.7376,0.7376,0.4647,0.7801
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-132.png,0.4306,0.1711,0.6658,0.1553,0.7366,0.7365,0.4637,0.7777
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-133.png,0.4314,0.1600,0.6690,0.1462,0.7362,0.7332,0.4605,0.7708
/mnt/d/datasets/smart_doc_extracted/images,background01-datasheet001-134.png,0.4287,0.1599,0.6662,0.1476,0.7311,0.7358,0.4543,0.7710
